Isolate,RGPD,County,State,Country ,Replicate,Growing_Region,Temperature 
P482,7.7,San Diego,CA,USA,2,South,25
P482,8.47,San Diego,CA,USA,2,South,25
P482,8.16,San Diego,CA,USA,2,South,25
P483,8.82,San Diego,CA,USA,2,South,25
P483,8.85,San Diego,CA,USA,2,South,25
P483,8.97,San Diego,CA,USA,2,South,25
P485,4.47,San Diego,CA,USA,2,South,25
P485,6.25,San Diego,CA,USA,2,South,25
P485,2.65,San Diego,CA,USA,2,South,25
P356,5.74,Riverside,CA,USA,2,South,25
P356,5.88,Riverside,CA,USA,2,South,25
P356,5.86,Riverside,CA,USA,2,South,25
P360,8.27,Riverside,CA,USA,2,South,25
P360,7.69,Riverside,CA,USA,2,South,25
P360,8.44,Riverside,CA,USA,2,South,25
B4,5.92,Santa Barbara,CA,USA,2,North,25
B4,6.3,Santa Barbara,CA,USA,2,North,25
B4,5.69,Santa Barbara,CA,USA,2,North,25
P532,5.56,Riverside,CA,USA,2,South,25
P532,5.88,Riverside,CA,USA,2,South,25
P532,6.07,Riverside,CA,USA,2,South,25
P553,5.5,Riverside,CA,USA,2,South,25
P553,5.98,Riverside,CA,USA,2,South,25
P553,5.88,Riverside,CA,USA,2,South,25
OH3,6.92,Riverside,CA,USA,2,South,25
OH3,7.42,Riverside,CA,USA,2,South,25
OH3,6.42,Riverside,CA,USA,2,South,25
OH3a,8.6,Riverside,CA,USA,2,South,25
OH3a,8.81,Riverside,CA,USA,2,South,25
OH3a,7.81,Riverside,CA,USA,2,South,25
OH4,7.88,Riverside,CA,USA,2,South,25
OH4,8.89,Riverside,CA,USA,2,South,25
OH4,8.81,Riverside,CA,USA,2,South,25
S2_1,7.28,Orange,CA,USA,2,North,25
S2_1,6.57,Orange,CA,USA,2,North,25
S2_1,7.12,Orange,CA,USA,2,North,25
W3_1,6.44,Orange,CA,USA,2,North,25
W3_1,5.84,Orange,CA,USA,2,North,25
W3_1,6.68,Orange,CA,USA,2,North,25
M403,6.39,Riverside,CA,USA,2,South,25
M403,6.35,Riverside,CA,USA,2,South,25
M403,6.26,Riverside,CA,USA,2,South,25
M399,6.1,San Diego,CA,USA,2,South,25
M399,5.8,San Diego,CA,USA,2,South,25
M399,5.89,San Diego,CA,USA,2,South,25
M398,5.08,San Diego,CA,USA,2,South,25
M398,4.94,San Diego,CA,USA,2,South,25
M398,5.29,San Diego,CA,USA,2,South,25
M405,8.59,San Diego,CA,USA,2,South,25
M405,8.61,San Diego,CA,USA,2,South,25
M405,8.74,San Diego,CA,USA,2,South,25
L14,7.44,Ventura,CA,USA,2,North,25
L14,7.86,Ventura,CA,USA,2,North,25
L14,7.48,Ventura,CA,USA,2,North,25
P442,7.19,Ventura,CA,USA,2,North,25
P442,7.65,Ventura,CA,USA,2,North,25
P442,7.02,Ventura,CA,USA,2,North,25
P444,7.48,Ventura,CA,USA,2,North,25
P444,7.67,Ventura,CA,USA,2,North,25
P444,7.52,Ventura,CA,USA,2,North,25
P446,8.25,Ventura,CA,USA,2,North,25
P446,8.19,Ventura,CA,USA,2,North,25
P446,8.51,Ventura,CA,USA,2,North,25
ZITR2_5,5.72,Zitacuaro,MC,MEXICO,1,NA,25
ZITR2_5,6.01,Zitacuaro,MC,MEXICO,1,NA,25
ZITR2_5,6.04,Zitacuaro,MC,MEXICO,1,NA,25
ZCA5_3,6.27,Ziracuaretiro,MC,MEXICO,1,NA,25
ZCA5_3,5.97,Ziracuaretiro,MC,MEXICO,1,NA,25
ZCA5_3,5.75,Ziracuaretiro,MC,MEXICO,1,NA,25
ZITR2_5,5.95,Zitacuaro,MC,MEXICO,2,NA,25
ZITR2_5,6.34,Zitacuaro,MC,MEXICO,2,NA,25
ZITR2_5,6.46,Zitacuaro,MC,MEXICO,2,NA,25
ZCA5_3,6.79,Ziracuaretiro,MC,MEXICO,2,NA,25
ZCA5_3,7.8,Ziracuaretiro,MC,MEXICO,2,NA,25
ZCA5_3,7.18,Ziracuaretiro,MC,MEXICO,2,NA,25
M401,5.35,San Diego,CA,USA,2,South,25
M401,5.73,San Diego,CA,USA,2,South,25
M401,5.9,San Diego,CA,USA,2,South,25
M395,6.93,San Diego,CA,USA,2,South,25
M395,7.4,San Diego,CA,USA,2,South,25
M395,7.02,San Diego,CA,USA,2,South,25
M397,4.16,San Diego,CA,USA,2,South,25
M397,4.46,San Diego,CA,USA,2,South,25
M397,4.34,San Diego,CA,USA,2,South,25
M400,7.55,San Diego,CA,USA,2,South,25
M400,7.07,San Diego,CA,USA,2,South,25
M400,6.98,San Diego,CA,USA,2,South,25
M402,7.65,Ventura,CA,USA,2,North,25
M402,7.74,Ventura,CA,USA,2,North,25
M402,7.43,Ventura,CA,USA,2,North,25
M404,6.94,Riverside,CA,USA,2,South,25
M404,6.08,Riverside,CA,USA,2,South,25
M404,6.15,Riverside,CA,USA,2,South,25
M293,8.69,Ventura,CA,USA,2,North,25
M293,8.14,Ventura,CA,USA,2,North,25
M293,8.27,Ventura,CA,USA,2,North,25
M393,6.01,Unknown,Unknown,Unknown,2,NA,25
M393,5.96,Unknown,Unknown,Unknown,2,NA,25
M393,6.21,Unknown,Unknown,Unknown,2,NA,25
M394,7.46,Unknown,Unknown,Unknown,2,NA,25
M394,6.91,Unknown,Unknown,Unknown,2,NA,25
M394,7.1,Unknown,Unknown,Unknown,2,NA,25
P6377,6.05,Unknown,Unknown,Taiwan,2,NA,25
P6377,6.27,Unknown,Unknown,Taiwan,2,NA,25
P6377,6.92,Unknown,Unknown,Taiwan,2,NA,25
P6339,7.65,Unknown,Unknown,Papua New Guinea,2,NA,25
P6339,7.68,Unknown,Unknown,Papua New Guinea,2,NA,25
P6339,7.27,Unknown,Unknown,Papua New Guinea,2,NA,25
M401,5.4,San Diego,CA,USA,1,South,25
M401,5.16,San Diego,CA,USA,1,South,25
M401,5.35,San Diego,CA,USA,1,South,25
M395,6.48,San Diego,CA,USA,1,South,25
M395,6.62,San Diego,CA,USA,1,South,25
M395,6.59,San Diego,CA,USA,1,South,25
M397,4.51,San Diego,CA,USA,1,South,25
M397,4.14,San Diego,CA,USA,1,South,25
M397,4.5,San Diego,CA,USA,1,South,25
M400,6.78,San Diego,CA,USA,1,South,25
M400,7.04,San Diego,CA,USA,1,South,25
M400,7.77,San Diego,CA,USA,1,South,25
M402,7.43,Ventura,CA,USA,1,North,25
M402,7.5,Ventura,CA,USA,1,North,25
M402,7.33,Ventura,CA,USA,1,North,25
M404,5.93,Riverside,CA,USA,1,South,25
M404,5.95,Riverside,CA,USA,1,South,25
M404,5.86,Riverside,CA,USA,1,South,25
M293,8.41,Ventura,CA,USA,1,North,25
M293,8.44,Ventura,CA,USA,1,North,25
M293,8.37,Ventura,CA,USA,1,North,25
M393,5.67,Unknown,Unknown,Unknown,1,NA,25
M393,6.31,Unknown,Unknown,Unknown,1,NA,25
M393,6.14,Unknown,Unknown,Unknown,1,NA,25
M394,6.98,Unknown,Unknown,Unknown,1,NA,25
M394,6.82,Unknown,Unknown,Unknown,1,NA,25
M394,7.3,Unknown,Unknown,Unknown,1,NA,25
P6377,6.02,Unknown,Unknown,Taiwan,1,NA,25
P6377,6.95,Unknown,Unknown,Taiwan,1,NA,25
P6377,6.39,Unknown,Unknown,Taiwan,1,NA,25
P6339,7.49,Unknown,Unknown,Papua New Guinea,1,NA,25
P6339,7.55,Unknown,Unknown,Papua New Guinea,1,NA,25
P6339,8,Unknown,Unknown,Papua New Guinea,1,NA,25
P3658,7.01,Unknown,Unknown,Papua New Guinea,2,NA,25
P3658,7.37,Unknown,Unknown,Papua New Guinea,2,NA,25
P3658,7.72,Unknown,Unknown,Papua New Guinea,2,NA,25
P6379,5.06,Unknown,Unknown,Taiwan,2,NA,25
P6379,5.16,Unknown,Unknown,Taiwan,2,NA,25
P6379,4.97,Unknown,Unknown,Taiwan,2,NA,25
MW4_1,8.14,San Diego,CA,USA,2,South,25
MW4_1,6.83,San Diego,CA,USA,2,South,25
MW4_1,6.36,San Diego,CA,USA,2,South,25
ME9_1,5.15,San Diego,CA,USA,2,South,25
ME9_1,5.23,San Diego,CA,USA,2,South,25
ME9_1,5.73,San Diego,CA,USA,2,South,25
ME1_1,7.38,San Diego,CA,USA,2,South,25
ME1_1,7.44,San Diego,CA,USA,2,South,25
ME1_1,7.19,San Diego,CA,USA,2,South,25
OH5,6.11,Riverside,CA,USA,2,South,25
OH5,6.6,Riverside,CA,USA,2,South,25
OH5,5.97,Riverside,CA,USA,2,South,25
345,5.87,Ventura,CA,USA,2,North,25
345,5.88,Ventura,CA,USA,2,North,25
345,6.12,Ventura,CA,USA,2,North,25
M253,8.34,San Diego,CA,USA,2,South,25
M253,8.67,San Diego,CA,USA,2,South,25
M253,8.71,San Diego,CA,USA,2,South,25
CBS14422,9.54,Unknown,Unknown,Indonesia,2,NA,25
CBS14422,9.36,Unknown,Unknown,Indonesia,2,NA,25
CBS14422,9.35,Unknown,Unknown,Indonesia,2,NA,25
P3658,5.93,Unknown,Unknown,Papua New Guinea,1,NA,25
P3658,6.88,Unknown,Unknown,Papua New Guinea,1,NA,25
P3658,7.03,Unknown,Unknown,Papua New Guinea,1,NA,25
P6379,4.73,Unknown,Unknown,Taiwan,1,NA,25
P6379,4.62,Unknown,Unknown,Taiwan,1,NA,25
P6379,4.84,Unknown,Unknown,Taiwan,1,NA,25
MW4_1,6.02,San Diego,CA,USA,1,South,25
MW4_1,5.98,San Diego,CA,USA,1,South,25
MW4_1,6.08,San Diego,CA,USA,1,South,25
ME9_1,5.16,San Diego,CA,USA,1,South,25
ME9_1,5.25,San Diego,CA,USA,1,South,25
ME9_1,5.09,San Diego,CA,USA,1,South,25
ME1_1,7.27,San Diego,CA,USA,1,South,25
ME1_1,7.3,San Diego,CA,USA,1,South,25
ME1_1,7.54,San Diego,CA,USA,1,South,25
OH5,6.95,Riverside,CA,USA,1,South,25
OH5,6.6,Riverside,CA,USA,1,South,25
OH5,7.11,Riverside,CA,USA,1,South,25
345,5.73,Ventura,CA,USA,1,North,25
345,6.16,Ventura,CA,USA,1,North,25
345,5.84,Ventura,CA,USA,1,North,25
M253,8.09,San Diego,CA,USA,1,South,25
M253,8.94,San Diego,CA,USA,1,South,25
M253,8.55,San Diego,CA,USA,1,South,25
CBS14422,9.9,Unknown,Unknown,Indonesia,1,NA,25
CBS14422,10.12,Unknown,Unknown,Indonesia,1,NA,25
CBS14422,9.96,Unknown,Unknown,Indonesia,1,NA,25
UPNS4_1,6.11,Uruapan,MC,MEXICO,1,NA,25
UPNS4_1,5.44,Uruapan,MC,MEXICO,1,NA,25
UPNS4_1,5.7,Uruapan,MC,MEXICO,1,NA,25
TGR3_5,5.84,Tinguind’n,MC,MEXICO,1,NA,25
TGR3_5,6.05,Tinguind’n,MC,MEXICO,1,NA,25
TGR3_5,6.1,Tinguind’n,MC,MEXICO,1,NA,25
TANS5_22,5.97,Tanc’taro,MC,MEXICO,1,NA,25
TANS5_22,5.46,Tanc’taro,MC,MEXICO,1,NA,25
TANS5_22,5.49,Tanc’taro,MC,MEXICO,1,NA,25
ARR2_2,5.19,Ario de Rosales,MC,MEXICO,1,NA,25
ARR2_2,5.57,Ario de Rosales,MC,MEXICO,1,NA,25
ARR2_2,5.62,Ario de Rosales,MC,MEXICO,1,NA,25
SER5_6,4.92,Salvador Escalante,MC,MEXICO,1,NA,25
SER5_6,5.25,Salvador Escalante,MC,MEXICO,1,NA,25
SER5_6,5.21,Salvador Escalante,MC,MEXICO,1,NA,25
PRS4_18,5.11,Perib‡n,MC,MEXICO,1,NA,25
PRS4_18,5.11,Perib‡n,MC,MEXICO,1,NA,25
PRS4_18,5.35,Perib‡n,MC,MEXICO,1,NA,25
SJNR6_22,4.97,San Juan Nuevo ,MC,MEXICO,1,NA,25
SJNR6_22,5.24,San Juan Nuevo ,MC,MEXICO,1,NA,25
SJNR6_22,5.11,San Juan Nuevo ,MC,MEXICO,1,NA,25
UPNS4_1,5.58,Uruapan,MC,MEXICO,2,NA,25
UPNS4_1,6.08,Uruapan,MC,MEXICO,2,NA,25
UPNS4_1,5.72,Uruapan,MC,MEXICO,2,NA,25
TGR3_5,6.21,Tinguind’n,MC,MEXICO,2,NA,25
TGR3_5,6.37,Tinguind’n,MC,MEXICO,2,NA,25
TGR3_5,6.57,Tinguind’n,MC,MEXICO,2,NA,25
TANS5_22,5.34,Tanc’taro,MC,MEXICO,2,NA,25
TANS5_22,5.65,Tanc’taro,MC,MEXICO,2,NA,25
TANS5_22,5.58,Tanc’taro,MC,MEXICO,2,NA,25
ARR2_2,6.32,Ario de Rosales,MC,MEXICO,2,NA,25
ARR2_2,6.12,Ario de Rosales,MC,MEXICO,2,NA,25
ARR2_2,6.23,Ario de Rosales,MC,MEXICO,2,NA,25
SER5_6,5.35,Salvador Escalante,MC,MEXICO,2,NA,25
SER5_6,5.43,Salvador Escalante,MC,MEXICO,2,NA,25
SER5_6,5.55,Salvador Escalante,MC,MEXICO,2,NA,25
PRS4_18,6.03,Perib‡n,MC,MEXICO,2,NA,25
PRS4_18,5.95,Perib‡n,MC,MEXICO,2,NA,25
PRS4_18,6.42,Perib‡n,MC,MEXICO,2,NA,25
SJNR6_22,4.79,San Juan Nuevo ,MC,MEXICO,2,NA,25
SJNR6_22,5.41,San Juan Nuevo ,MC,MEXICO,2,NA,25
SJNR6_22,5.56,San Juan Nuevo ,MC,MEXICO,2,NA,25
Pc5241,6.56,San Diego,CA,USA,1,South,25
Pc5241,6.57,San Diego,CA,USA,1,South,25
Pc5241,6.87,San Diego,CA,USA,1,South,25
Pc338,5.32,San Diego,CA,USA,1,South,25
Pc338,5.52,San Diego,CA,USA,1,South,25
Pc338,5.73,San Diego,CA,USA,1,South,25
Pc338,4.76,San Diego,CA,USA,2,South,25
Pc338,5.1,San Diego,CA,USA,2,South,25
Pc338,5.21,San Diego,CA,USA,2,South,25
P398,6.42,Santa Barbara,CA,USA,1,North,28
P398,8.53,Santa Barbara,CA,USA,1,North,28
P398,7.8,Santa Barbara,CA,USA,1,North,28
P407,5.19,Santa Barbara,CA,USA,1,North,28
P407,5.31,Santa Barbara,CA,USA,1,North,28
P407,5.37,Santa Barbara,CA,USA,1,North,28
P349,4.18,Santa Barbara,CA,USA,1,North,28
P349,4.35,Santa Barbara,CA,USA,1,North,28
P349,4.4,Santa Barbara,CA,USA,1,North,28
P344,6.12,Santa Barbara,CA,USA,1,North,28
P344,6.55,Santa Barbara,CA,USA,1,North,28
P344,5.99,Santa Barbara,CA,USA,1,North,28
P245,6.43,Ventura,CA,USA,1,North,28
P245,5.43,Ventura,CA,USA,1,North,28
P245,5.96,Ventura,CA,USA,1,North,28
P340,5.21,San Diego,CA,USA,1,South,28
P340,5.38,San Diego,CA,USA,1,South,28
P340,5.33,San Diego,CA,USA,1,South,28
P207,7.73,San Diego,CA,USA,1,South,28
P207,7.86,San Diego,CA,USA,1,South,28
P207,8.02,San Diego,CA,USA,1,South,28
P420,5.22,Santa Barbara,CA,USA,1,North,28
P420,6.57,Santa Barbara,CA,USA,1,North,28
P420,6.6,Santa Barbara,CA,USA,1,North,28
Nik4_2,4.91,San Diego,CA,USA,1,South,28
Nik4_2,5.82,San Diego,CA,USA,1,South,28
Nik4_2,5.75,San Diego,CA,USA,1,South,28
Pc336,5.58,San Diego,CA,USA,1,South,28
Pc336,5.62,San Diego,CA,USA,1,South,28
Pc336,5.51,San Diego,CA,USA,1,South,28
P163,5.72,Riverside,CA,USA,1,South,28
P163,5.98,Riverside,CA,USA,1,South,28
P163,5.95,Riverside,CA,USA,1,South,28
P216,5.76,Riverside,CA,USA,1,South,28
P216,5.77,Riverside,CA,USA,1,South,28
P216,5.74,Riverside,CA,USA,1,South,28
R_1,7.04,Orange,CA,USA,1,North,28
R_1,6.56,Orange,CA,USA,1,North,28
R_1,7.13,Orange,CA,USA,1,North,28
P14009,5.44,Ventura,CA,USA,1,North,28
P14009,5.32,Ventura,CA,USA,1,North,28
P14009,5.7,Ventura,CA,USA,1,North,28
Pc2114,6.24,Ventura,CA,USA,1,North,28
Pc2114,7.79,Ventura,CA,USA,1,North,28
Pc2114,6.32,Ventura,CA,USA,1,North,28
St5b,4.85,San Diego,CA,USA,1,South,28
St5b,4.68,San Diego,CA,USA,1,South,28
St5b,4.59,San Diego,CA,USA,1,South,28
Pc2120,5.44,Riverside,CA,USA,1,South,28
Pc2120,5.49,Riverside,CA,USA,1,South,28
Pc2120,5.78,Riverside,CA,USA,1,South,28
B9,5.36,Santa Barbara,CA,USA,1,North,28
B9,5.29,Santa Barbara,CA,USA,1,North,28
B9,5.13,Santa Barbara,CA,USA,1,North,28
Pc2113,5.4,Santa Barbara,CA,USA,1,North,28
Pc2113,5.38,Santa Barbara,CA,USA,1,North,28
Pc2113,5.33,Santa Barbara,CA,USA,1,North,28
Pc2109,4.87,San Diego,CA,USA,1,South,28
Pc2109,4.43,San Diego,CA,USA,1,South,28
Pc2109,4.62,San Diego,CA,USA,1,South,28
St6a,4.54,San Diego,CA,USA,1,South,28
St6a,4.43,San Diego,CA,USA,1,South,28
St6a,4.75,San Diego,CA,USA,1,South,28
Pc2110,5.76,Ventura,CA,USA,1,North,28
Pc2110,4.37,Ventura,CA,USA,1,North,28
Pc2110,5.61,Ventura,CA,USA,1,North,28
Van3,5.76,Ventura,CA,USA,1,North,28
Van3,5.19,Ventura,CA,USA,1,North,28
Van3,5.66,Ventura,CA,USA,1,North,28
P2115,7.95,Ventura,CA,USA,1,North,28
P2115,8.07,Ventura,CA,USA,1,North,28
P2115,6.87,Ventura,CA,USA,1,North,28
Pc2117,4.6,San Diego,CA,USA,1,South,28
Pc2117,4.43,San Diego,CA,USA,1,South,28
Pc2117,4.55,San Diego,CA,USA,1,South,28
P352,5.87,San Diego,CA,USA,1,South,28
P352,6.15,San Diego,CA,USA,1,South,28
P352,6.39,San Diego,CA,USA,1,South,28
P438,5.43,Santa Barbara,CA,USA,1,North,28
P438,4.78,Santa Barbara,CA,USA,1,North,28
P438,4.94,Santa Barbara,CA,USA,1,North,28
P439,5.34,Santa Barbara,CA,USA,1,North,28
P439,5.62,Santa Barbara,CA,USA,1,North,28
P439,5.34,Santa Barbara,CA,USA,1,North,28
L2_1,6.67,Ventura,CA,USA,1,North,28
L2_1,6.71,Ventura,CA,USA,1,North,28
L2_1,5.89,Ventura,CA,USA,1,North,28
P367,4.47,Ventura,CA,USA,1,North,28
P367,4.87,Ventura,CA,USA,1,North,28
P367,4.65,Ventura,CA,USA,1,North,28
P448,6.47,Ventura,CA,USA,1,North,28
P448,6,Ventura,CA,USA,1,North,28
P448,6.24,Ventura,CA,USA,1,North,28
P454,5.72,Ventura,CA,USA,1,North,28
P454,5.7,Ventura,CA,USA,1,North,28
P454,5.67,Ventura,CA,USA,1,North,28
P425,4.86,Ventura,CA,USA,1,North,28
P425,4.87,Ventura,CA,USA,1,North,28
P425,4.78,Ventura,CA,USA,1,North,28
P426,6.01,Ventura,CA,USA,1,North,28
P426,5.69,Ventura,CA,USA,1,North,28
P426,6.27,Ventura,CA,USA,1,North,28
P429,5.68,Ventura,CA,USA,1,North,28
P429,6.17,Ventura,CA,USA,1,North,28
P429,6.19,Ventura,CA,USA,1,North,28
P322,6.16,Ventura,CA,USA,1,North,28
P322,5.66,Ventura,CA,USA,1,North,28
P322,5.96,Ventura,CA,USA,1,North,28
P381,8.02,San Diego,CA,USA,1,South,28
P381,7.09,San Diego,CA,USA,1,South,28
P381,8.28,San Diego,CA,USA,1,South,28
P508,4.78,San Diego,CA,USA,1,South,28
P508,5.32,San Diego,CA,USA,1,South,28
P508,5.1,San Diego,CA,USA,1,South,28
P514,5.9,San Diego,CA,USA,1,South,28
P514,6.2,San Diego,CA,USA,1,South,28
P514,6.14,San Diego,CA,USA,1,South,28
P520,5.91,San Diego,CA,USA,1,South,28
P520,5.27,San Diego,CA,USA,1,South,28
P520,5.07,San Diego,CA,USA,1,South,28
P461,5.51,San Diego,CA,USA,1,South,28
P461,5.86,San Diego,CA,USA,1,South,28
P461,4.76,San Diego,CA,USA,1,South,28
P467,4.67,San Diego,CA,USA,1,South,28
P467,5.26,San Diego,CA,USA,1,South,28
P467,5.35,San Diego,CA,USA,1,South,28
P473,5.33,San Diego,CA,USA,1,South,28
P473,5.88,San Diego,CA,USA,1,South,28
P473,5.48,San Diego,CA,USA,1,South,28
P482,6.27,San Diego,CA,USA,1,South,28
P482,6.65,San Diego,CA,USA,1,South,28
P482,6.35,San Diego,CA,USA,1,South,28
P483,9.44,San Diego,CA,USA,1,South,28
P483,8.58,San Diego,CA,USA,1,South,28
P483,8.89,San Diego,CA,USA,1,South,28
P356,5.3,Riverside,CA,USA,1,South,28
P356,5.42,Riverside,CA,USA,1,South,28
P356,5.42,Riverside,CA,USA,1,South,28
P360,5.73,Riverside,CA,USA,1,South,28
P360,5.75,Riverside,CA,USA,1,South,28
P360,5.53,Riverside,CA,USA,1,South,28
B4,4.87,Santa Barbara,CA,USA,1,North,28
B4,4.53,Santa Barbara,CA,USA,1,North,28
B4,5.24,Santa Barbara,CA,USA,1,North,28
P532,5.18,Riverside,CA,USA,1,South,28
P532,5.19,Riverside,CA,USA,1,South,28
P532,5.38,Riverside,CA,USA,1,South,28
P553,5.67,Riverside,CA,USA,1,South,28
P553,5.17,Riverside,CA,USA,1,South,28
P553,5.2,Riverside,CA,USA,1,South,28
OH3,4.49,Riverside,CA,USA,1,South,28
OH3,5.12,Riverside,CA,USA,1,South,28
OH3,5.26,Riverside,CA,USA,1,South,28
OH3a,8.16,Riverside,CA,USA,1,South,28
OH3a,8.29,Riverside,CA,USA,1,South,28
OH3a,7.99,Riverside,CA,USA,1,South,28
OH4,7.75,Riverside,CA,USA,1,South,28
OH4,7.8,Riverside,CA,USA,1,South,28
OH4,7.77,Riverside,CA,USA,1,South,28
S2_1,5.67,Orange,CA,USA,1,North,28
S2_1,6.97,Orange,CA,USA,1,North,28
S2_1,5.45,Orange,CA,USA,1,North,28
W3_1,5.61,Orange,CA,USA,1,North,28
W3_1,4.96,Orange,CA,USA,1,North,28
W3_1,5.45,Orange,CA,USA,1,North,28
M403,5.64,Riverside,CA,USA,1,South,28
M403,5.68,Riverside,CA,USA,1,South,28
M403,5.32,Riverside,CA,USA,1,South,28
M399,4.64,San Diego,CA,USA,1,South,28
M399,4.7,San Diego,CA,USA,1,South,28
M399,4.72,San Diego,CA,USA,1,South,28
M398,4.48,San Diego,CA,USA,1,South,28
M398,4.44,San Diego,CA,USA,1,South,28
M398,4.96,San Diego,CA,USA,1,South,28
M405,8.15,San Diego,CA,USA,1,South,28
M405,7.46,San Diego,CA,USA,1,South,28
M405,7.39,San Diego,CA,USA,1,South,28
L14,6.49,Ventura,CA,USA,1,North,28
L14,6.22,Ventura,CA,USA,1,North,28
L14,4.88,Ventura,CA,USA,1,North,28
P442,4.99,Ventura,CA,USA,1,North,28
P442,5.7,Ventura,CA,USA,1,North,28
P442,5.05,Ventura,CA,USA,1,North,28
P444,5.54,Ventura,CA,USA,1,North,28
P444,6.32,Ventura,CA,USA,1,North,28
P444,5.74,Ventura,CA,USA,1,North,28
P446,5.43,Ventura,CA,USA,1,North,28
P446,6.07,Ventura,CA,USA,1,North,28
P446,5.65,Ventura,CA,USA,1,North,28
P485,2.65,San Diego,CA,USA,1,South,28
P485,3.75,San Diego,CA,USA,1,South,28
P485,6.35,San Diego,CA,USA,1,South,28
P398,8.82,Santa Barbara,CA,USA,2,North,28
