Isolate,MeanCov
ARR2_2,30
ARR3_4,35
ARR4_1A,24
ARR4_1B,29
ARR5_4,35
B4,50
B9,42
CAV11,28
CAV12,28
CAV15,23
CAV7,24
CBS14422,37
L14,36
L2_1,47
M253,30
M293,35
M393,32
M394,29
M395,39
M397,36
M398,46
M399,35
M400,32
M401,27
M402,42
M403,37
M404,37
M405,36
ME1_1,28
ME9_1,36
MW4_1,39
Nik4_2,38
OH3,38
OH3a,31
OH4,32
OH5,37
P14009,38
P163,33
P207,40
P2115,35
P216,32
P245,36
P322,39
P336,38
P340,31
P344,40
P349,30
P352,39
P356,37
P360,39
P3658,30
P367,40
P381,34
P398,43
P407,41
P420,51
P425,41
P426,38
P429,40
P438,41
P439,42
P442,32
P444,34
P446,37
P448,35
P454,42
P461,34
P467,37
P473,39
P482,38
P483,44
P485,40
P508,29
P514,32
P520,44
P532,34
P553,38
P6339,33
P6377,35
P6379,30
Pc2109,78
Pc2110,31
Pc2113,106
Pc2114,34
Pc2117,29
Pc2120,37
Pc338,28
Pc345,33
Pc5241,27
PRS1_1,32
PRS2_10,27
PRS3_13,29
PRS4_18,23
PRS5_23,31
R_1,36
S2_1,36
SER1_4,24
SER2_3,32
SER3_6,23
SER4_5,25
SER5_6,24
SJNR2_3,32
SJNR3_3,22
SJNR3_4,28
SJNR4_12,26
SJNR5_4,24
SJNR6_22,22
St5b,40
St6a,39
TANR1_5,23
TANR2_7,23
TANR3_5,27
TANR4_4,31
TANS5_22,23
TGR1_5,26
TGR2_3,28
TGR3_5,24
TGR4_3,25
TGR4_6,28
UPNR1_1,27
UPNR4_4,26
UPNS2_5,22
UPNS3_4,28
UPNS4_1,23
Van3,33
W3_1,35
ZCA1_4,23
ZCA2_2,28
ZCA3_2,26
ZCA4_3,21
ZCA5_3,22
ZITR2_5,31
ZITR3_3,22
ZITR3_4,25
ZITR5_5,25
ZITR5_6,28