Isolate,region,latitude,longitude,Cluster1,Cluster2,Cluster3,Cluster4
ARR_2_2,1,19.22652204,-101.6741336,1,0,0,0
ARR_3_4,2,19.20296877,-101.6548277,1,0,0,0
ARR_1_4,3,19.20128674,-101.7340723,1,0,0,0
ARR_4_1,4,19.20894948,-101.6599626,1,0,0,0
ARR_5_4,5,19.18267652,-101.7040825,1,0,0,0
CAV_11,6,19.36275573,-102.0753056,1,0,0,0
CAV_12,7,19.35323685,-102.0188106,1,0,0,0
CAV_15,8,19.38656283,-102.0456759,1,0,0,0
CAV_7,9,19.4216902,-102.0159892,1,0,0,0
PRS_1_1,10,19.49355375,-102.4165314,0,1,0,0
PRS_2_10,11,19.49488899,-102.4342425,1,0,0,0
PRS_3_13,12,19.49181034,-102.363654,1,0,0,0
PRS_4_18,13,19.50866894,-102.4664514,1,0,0,0
PRS_5_23,14,19.51325685,-102.3641069,1,0,0,0
SER_1_4,15,19.4255484,-101.6708039,1,0,0,0
SER_2_3,16,19.39224571,-101.6567373,1,0,0,0
SER_3_6,17,19.38531857,-101.6234751,1,0,0,0
SER_4_5,18,19.40427447,-101.6036206,1,0,0,0
SER_5_6,19,19.4137383,-101.5916928,1,0,0,0
SJNR_2_3,20,19.40725111,-102.1178433,1,0,0,0
SJNR_3_3,21,19.42923421,-102.1126186,1,0,0,0
SJNR_3_4,22,19.4327318,-102.1453543,1,0,0,0
SJNR_4_12,23,19.41026693,-102.1222642,1,0,0,0
SJNR_5_4,24,19.42647092,-102.1537741,1,0,0,0
SJNS_6_22,25,19.40490747,-102.1520363,1,0,0,0
TANR_1_5,26,19.33335746,-102.3612149,1,0,0,0
TANR_2_7,27,19.3361776,-102.3629206,1,0,0,0
TANR_3_5,28,19.34170509,-102.3602816,0,1,0,0
TANR_4_4,29,19.33736098,-102.3631202,1,0,0,0
TANS_5_22,30,19.33503912,-102.3657331,1,0,0,0
TGR_1_5,31,19.72641346,-102.508994,1,0,0,0
TGR_2_3,32,19.71803676,-102.4750749,1,0,0,0
TGR_3_5,33,19.7418166,-102.4901647,1,0,0,0
TGR_4_3,34,19.72507552,-102.4716706,1,0,0,0
TGR_4_6,35,19.73673708,-102.4938458,1,0,0,0
UPNR_1_1,36,19.34770263,-102.0120372,1,0,0,0
UPNR_4_4,37,19.45997963,-102.0985234,1,0,0,0
UPNS_2_5,38,19.45321702,-102.0512906,1,0,0,0
UPNS_3_4,39,19.42584367,-102.0965314,1,0,0,0
UPNS_4_1,40,19.4448264,-102.0658203,1,0,0,0
ZCA_1_4,41,19.38843818,-101.8941756,1,0,0,0
ZCA_2_2,42,19.43439207,-101.9274001,1,0,0,0
ZCA_3_2,43,19.40765445,-101.889426,1,0,0,0
ZCA_4_3,44,19.4020253,-101.899308,1,0,0,0
ZCA_5_3,45,19.41767157,-101.8933746,1,0,0,0
ZITR_2_5,46,19.46417685,-100.322351,1,0,0,0
ZITR_3_3,47,19.42431102,-100.3706192,1,0,0,0
ZITR_3_4,48,19.4465629,-100.3332119,1,0,0,0
ZITR_5_5,49,19.4094305,-100.3072058,1,0,0,0
ZITR_1_1,50,19.40367191,-100.3245016,1,0,0,0