Isolate,MLG
ARR2_2,1
ARR3_4,2
ARR4_1A,3
ARR4_1B,4
ARR5_4,5
B4,78
B9,7
CAV11,8
CAV12,9
CAV15,10
CAV7,11
CBS14422,78
L14,33
L2_1,33
M253,78
M293,78
M393,17
M394,78
M395,33
M397,20
M398,21
M399,22
M400,78
M401,24
M402,78
M403,33
M404,33
M405,78
ME1_1,33
ME9_1,33
MW4_1,33
Nik4_2,78
OH3,33
OH3a,35
OH4,35
OH5,36
P14009,78
P163,38
P207,78
P2115,33
P216,50
P245,78
P322,78
P336,44
P340,45
P344,46
P349,47
P352,48
P356,49
P360,50
P3658,51
P367,78
P381,53
P398,54
P407,78
P420,78
P425,57
P426,78
P429,78
P438,78
P439,78
P442,33
P444,78
P446,33
P448,78
P454,78
P461,33
P467,33
P473,33
P482,33
P483,33
P485,33
P508,73
P514,74
P520,75
P532,76
P553,77
P6339,78
P6377,79
P6379,80
PRS1_1,78
PRS2_10,82
PRS3_13,83
PRS4_18,84
PRS5_23,85
Pc2109,86
Pc2110,87
Pc2113,78
Pc2114,33
Pc2117,90
Pc2120,91
Pc338,92
Pc345,33
Pc5241,94
R_1,95
S2_1,78
SER1_4,97
SER2_3,98
SER3_6,99
SER4_5,100
SER5_6,101
SJNR2_3,102
SJNR3_3,103
SJNR3_4,104
SJNR4_12,105
SJNR5_4,106
SJNR6_22,107
St5b,108
St6a,109
TANR1_5,110
TANR2_7,111
TANR3_5,112
TANR4_4,113
TANS5_22,114
TGR1_5,115
TGR2_3,116
TGR3_5,117
TGR4_3,118
TGR4_6,119
UPNR1_1,120
UPNR4_4,121
UPNS2_5,122
UPNS3_4,123
UPNS4_1,124
Van3,125
W3_1,78
ZCA1_4,127
ZCA2_2,128
ZCA3_2,129
ZCA4_3,130
ZCA5_3,131
ZITR2_5,132
ZITR3_3,133
ZITR3_4,134
ZITR5_5,135
ZITR5_6,136