ID,name,location,Country,location_Simple,Year,Year_Range,Plot_Clean,County
ARR2_2,ARR2_2,Ario de Rosales,MX,MX,2019,2018-2019,,"Michoacan, MX"
ARR3_4,ARR3_4,Ario de Rosales,MX,MX,2019,2018-2019,,"Michoacan, MX"
ARR4_1A,ARR4_1A,Ario de Rosales,MX,MX,2019,2018-2019,,"Michoacan, MX"
ARR4_1B,ARR4_1B,Ario de Rosales,MX,MX,2019,2018-2019,,"Michoacan, MX"
ARR5_4,ARR5_4,Ario de Rosales,MX,MX,2019,2018-2019,,"Michoacan, MX"
CAV11,CAV11,Uruapan V,MX,MX,2010,2018-2019,,"Michoacan, MX"
CAV12,CAV12,Uruapan V,MX,MX,2010,2018-2019,,"Michoacan, MX"
CAV15,CAV15,Uruapan V,MX,MX,2010,2018-2019,,"Michoacan, MX"
CAV7,CAV7,Uruapan V,MX,MX,2010,2018-2019,,"Michoacan, MX"
PRS1_1,PRS1_1,Periban,MX,MX,2010,2018-2019,,"Michoacan, MX"
PRS2_10,PRS2_10,Periban,MX,MX,2010,2018-2019,,"Michoacan, MX"
PRS3_13,PRS3_13,Periban,MX,MX,2010,2018-2019,,"Michoacan, MX"
PRS4_18,PRS4_18,Periban,MX,MX,2009,2018-2019,,"Michoacan, MX"
PRS5_23,PRS5_23,Periban,MX,MX,2009,2018-2019,,"Michoacan, MX"
SER1_4,SER1_4,Salvador Escalante,MX,MX,2019,2018-2019,,"Michoacan, MX"
SER2_3,SER2_3,Salvador Escalante,MX,MX,2019,2018-2019,,"Michoacan, MX"
SER3_6,SER3_6,Salvador Escalante,MX,MX,2019,2018-2019,,"Michoacan, MX"
SER4_5,SER4_5,Salvador Escalante,MX,MX,2019,2018-2019,,"Michoacan, MX"
SER5_6,SER5_6,Salvador Escalante,MX,MX,2019,2018-2019,,"Michoacan, MX"
SJNR2_3,SJNR2_3,San Juan Nuevo,MX,MX,2019,2018-2019,,"Michoacan, MX"
SJNR3_3,SJNR3_3,San Juan Nuevo,MX,MX,2019,2018-2019,,"Michoacan, MX"
SJNR3_4,SJNR3_4,San Juan Nuevo,MX,MX,2019,2018-2019,,"Michoacan, MX"
SJNR4_12,SJNR4_12,San Juan Nuevo,MX,MX,2019,2018-2019,,"Michoacan, MX"
SJNR5_4,SJNR5_4,San Juan Nuevo,MX,MX,2019,2018-2019,,"Michoacan, MX"
SJNR6_22,SJNR6_22,San Juan Nuevo ,MX,MX,2019,2018-2019,,"Michoacan, MX"
TANR1_5,TANR1_5,Tancitaro,MX,MX,2019,2018-2019,,"Michoacan, MX"
TANR2_7,TANR2_7,Tancitaro,MX,MX,2019,2018-2019,,"Michoacan, MX"
TANR3_5,TANR3_5,Tancitaro,MX,MX,2019,2018-2019,,"Michoacan, MX"
TANR4_4,TANR4_4,Tancitaro,MX,MX,2019,2018-2019,,"Michoacan, MX"
TANS5_22,TANS5_22,Tancitaro,MX,MX,2019,2018-2019,,"Michoacan, MX"
TGR1_5,TGR1_5,Tinguindin,MX,MX,2019,2018-2019,,"Michoacan, MX"
TGR2_3,TGR2_3,Tinguindin,MX,MX,2019,2018-2019,,"Michoacan, MX"
TGR3_5,TGR3_5,Tinguindin,MX,MX,2019,2018-2019,,"Michoacan, MX"
TGR4_3,TGR4_3,Tinguindin,MX,MX,2019,2018-2019,,"Michoacan, MX"
TGR4_6,TGR4_6,Tinguindin,MX,MX,2019,2018-2019,,"Michoacan, MX"
UPNR1_1,UPNR1_1,Uruapan,MX,MX,2019,2018-2019,,"Michoacan, MX"
UPNR4_4,UPNR4_4,Uruapan,MX,MX,2019,2018-2019,,"Michoacan, MX"
UPNS2_5,UPNS2_5,Uruapan,MX,MX,2019,2018-2019,,"Michoacan, MX"
UPNS3_4,UPNS3_4,Uruapan,MX,MX,2019,2018-2019,,"Michoacan, MX"
UPNS4_1,UPNS4_1,Uruapan,MX,MX,2019,2018-2019,,"Michoacan, MX"
ZCA1_4,ZCA1_4,Ziracuaretiro,MX,MX,2019,2018-2019,,"Michoacan, MX"
ZCA2_2,ZCA2_2,Ziracuaretiro,MX,MX,2019,2018-2019,,"Michoacan, MX"
ZCA3_2,ZCA3_2,Ziracuaretiro,MX,MX,2019,2018-2019,,"Michoacan, MX"
ZCA4_3,ZCA4_3,Ziracuaretiro,MX,MX,2019,2018-2019,,"Michoacan, MX"
ZCA5_3,ZCA5_3,Ziracuaretiro,MX,MX,2019,2018-2019,,"Michoacan, MX"
ZITR2_5,ZITR2_5,Zitacuaro,MX,MX,2019,2018-2019,,"Michoacan, MX"
ZITR3_3,ZITR3_3,Zitacuaro,MX,MX,2019,2018-2019,,"Michoacan, MX"
ZITR3_4,ZITR3_4,Zitacuaro,MX,MX,2019,2018-2019,,"Michoacan, MX"
ZITR5_5,ZITR5_5,Zitacuaro,MX,MX,2019,2018-2019,,"Michoacan, MX"
ZITR5_6,ZITR5_6,Zitacuaro,MX,MX,2019,2018-2019,,"Michoacan, MX"
B4,B4,Santa Barbara,CA,CA-north,2010,2008-2010,Baker Ranch,Santa Barbara
B9,B9,Santa Barbara,CA,CA-north,2010,2008-2010,Baker Ranch,Santa Barbara
L14,L14,Ventura,CA,CA-north,2010,2008-2010,Lamb Ranch,Ventura
P344,P344,Santa Barbara,CA,CA-north,2017,2015-2017,Ben Van Der,Santa Barbara
P349,P349,Santa Barbara,CA,CA-north,2017,2015-2017,Ben Van Der,Santa Barbara
P398,P398,Santa Barbara,CA,CA-north,2018,2018-2019,Delwiche Ranch,Santa Barbara
P425,P425,Ventura,CA,CA-north,2018,2018-2019,Vanoni Ranch,Ventura
Pc2110,Pc2110,Ventura,CA,CA-north,2017,2015-2017,ACW,San Diego
R_1,R_1,Orange,CA,CA-north,2017,2015-2017,Derek Knobel,Orange
Van3,Van3,Ventura,CA,CA-north,2009,2008-2010,Vanoni Ranch,Ventura
CBS14422,CBS14422,West Sumatra,Indonesia,Asia/Oceania,1922,1992,,Indonesia (West Sumatra)
P3658,P3658,Paupa New Guinea ,Paupa New Guinea ,Asia/Oceania,1986,1986-1989,,Paupa New Guinea 
P6377,P6377,,Taiwan,Asia/Oceania,1989,1986-1989,,Taiwan
P6379,P6379,,Taiwan,Asia/Oceania,1989,1986-1989,,Taiwan
M253,M253,San Diego,CA,CA-south,1994,1994-1996,,San Diego
M393,M393,California,CA,CA-south,NO INFO,NO INFO,,NO INFO
M395,M395,San Diego,CA,CA-south,2008,2008-2010,Malone Ranch,San Diego
M397,M397,San Diego,CA,CA-south,2008,2008-2010,Stehly Ranch,San Diego
M398,M398,San Diego,CA,CA-south,2008,2008-2010,Stehly Ranch,San Diego
M399,M399,San Diego,CA,CA-south,2008,2008-2010,Stehly Ranch,San Diego
M401,M401,San Diego,CA,CA-south,2008,2008-2010,Stehly Ranch,San Diego
OH3a,OH3a,Riverside,CA,CA-south,2010,2008-2010,Ohannes Ranch,Riverside
OH5,OH5,Riverside,CA,CA-south,2010,2008-2010,Ohannes Ranch,Riverside
P163,P163,Riverside ,CA,CA-south,2015,2015-2017,Jim Brown,Riverside 
P216,P216,Riverside ,CA,CA-south,2015,2015-2017,Jim Brown,Riverside 
P336,P336,San Diego,CA,CA-south,2017,2015-2017,ACW,San Diego
P340,P340,San Diego,CA,CA-south,2017,2015-2017,ACW,San Diego
P352,P352,San Diego,CA,CA-south,2017,2015-2017,Krinch Ranch,San Diego
P356,P356,Riverside ,CA,CA-south,2017,2015-2017,Jim Brown,Riverside 
P381,P381,San Diego,CA,CA-south,2010,2008-2010,Stehly Ranch,San Diego
P508,P508,San Diego,CA,CA-south,2019,2018-2019,Stehly Ranch,San Diego
P514,P514,San Diego,CA,CA-south,2019,2018-2019,Stehly Ranch,San Diego
P520,P520,San Diego,CA,CA-south,2019,2018-2019,Stehly Ranch,San Diego
P532,P532,Riverside ,CA,CA-south,2019,2018-2019,Leo,Riverside 
P553,P553,Riverside ,CA,CA-south,2019,2018-2019,Leo,Riverside 
Pc2109,Pc2109,San Diego,CA,CA-south,2009,2008-2010,,Riverside
Pc2117,Pc2117,San Diego,CA,CA-south,2019,2018-2019,,San Diego
Pc2120,Pc2120,Riverside,CA,CA-south,2019,2018-2019,,Riverside
Pc338,Pc338,San Diego,CA,CA-south,2019,2018-2019,ACW,San Diego
Pc5241,Pc5241,San Diego,CA,CA-south,NO INFO,NO INFO,,San Diego
St5b,St5b,San Diego,CA,CA-south,2010,2008-2010,Stehly Ranch,San Diego
St6a,St6a,San Diego,CA,CA-south,2010,2008-2010,Stehly Ranch,San Diego